timestamp,asset,quantity,usd_amount,from_account,to_account,status,user
18/1/2026 10:13,SOL,94.3291,11776.73,kraken-123,kucoin-789,completed,mike.jones
18/1/2026 12:46,USDC,38807.11,38807.11,kraken-123,binance-892,completed,sarah.chen
18/1/2026 18:40,SOL,572.9432,17792.71,binance-382,binance,completed,alex.wong
18/1/2026 22:37,ETH,0.7937149,1535.47,binance-382,kraken-456,completed,mike.jones
18/1/2026 23:49,BNB,298.3467,34759.37,kucoin,kucoin-789,completed,jane.smith
19/1/2026 1:04,SOL,789.9497,247178.38,binance-451,kraken-456,completed,jane.smith
19/1/2026 3:17,USDT,45429.73,45429.73,binance,binance-382,completed,alex.wong
19/1/2026 5:46,ADA,751.4681,214194.2,binance-382,kraken-456,completed,lisa.park
19/1/2026 15:56,MATIC,943.2495,236506.24,binance-382,kucoin-789,completed,sarah.chen
19/1/2026 22:25,AVAX,607.6765,8450.7,kucoin-789,kraken-456,completed,john.doe
20/1/2026 3:16,SOL,580.4845,221623.99,kraken-456,kraken-123,completed,jane.smith
20/1/2026 5:42,ADA,441.5261,179837.21,kraken-456,kraken,completed,alex.wong
20/1/2026 9:14,ETH,4.29008814,9972.35,binance-892,kraken-456,completed,mike.jones
20/1/2026 16:37,BTC,2.27958128,74270.32,kraken-123,kucoin-789,completed,john.doe
21/1/2026 7:02,XRP,467.3566,13108.34,kraken-456,kraken-123,completed,john.doe
21/1/2026 10:55,USDC,13426.11,13426.11,binance-892,kraken-456,completed,sarah.chen
21/1/2026 17:14,ETH,0.15405852,473.74,kucoin,kucoin-789,completed,john.doe
21/1/2026 21:45,XRP,413.9108,46823.92,binance,binance-451,completed,lisa.park
21/1/2026 23:03,USDT,24968.94,24968.94,kucoin,kucoin-789,completed,sarah.chen
22/1/2026 8:26,BNB,251.2936,69377.46,kraken-456,kucoin-789,completed,jane.smith
22/1/2026 12:44,ETH,1.38847454,4824.97,kraken-456,binance-892,completed,alex.wong
22/1/2026 16:01,SOL,839.1012,243659.69,binance-451,kraken-456,completed,alex.wong
23/1/2026 1:00,AVAX,556.3982,151435.79,binance-892,binance-451,failed,jane.smith
23/1/2026 8:00,ADA,389.1411,166610.95,binance-892,kraken-456,completed,sarah.chen
23/1/2026 16:26,MATIC,988.5299,391857.64,binance-451,kraken-456,pending,jane.smith
23/1/2026 21:30,XRP,965.7001,160948.75,kraken-123,binance-382,completed,sarah.chen
23/1/2026 23:03,BTC,3.6149947,131582.72,binance-451,binance-382,completed,alex.wong
25/1/2026 7:55,AVAX,627.0268,124994.14,binance-892,kucoin-789,completed,alex.wong
25/1/2026 10:26,BNB,873.6592,16524.09,kucoin-789,binance-892,failed,lisa.park
25/1/2026 18:47,ETH,2.17551764,3798.69,binance-382,kraken-456,completed,alex.wong
26/1/2026 0:17,BTC,0.23949493,12416.79,binance-892,kraken-456,completed,mike.jones
26/1/2026 9:07,MATIC,570.2688,226092.88,binance-382,kucoin-789,completed,mike.jones
27/1/2026 0:17,USDC,24933.6,24933.6,binance-451,kraken-456,completed,sarah.chen
27/1/2026 5:31,SOL,670.1723,301279.55,binance-892,kucoin-789,completed,sarah.chen
27/1/2026 6:28,AVAX,987.7752,148440.85,kucoin-789,kucoin,completed,alex.wong
27/1/2026 19:17,USDC,49968.74,49968.74,binance,binance-382,completed,alex.wong
28/1/2026 3:40,ADA,302.9137,106001.7,kucoin-789,kraken-123,completed,mike.jones
